record_id,set_id,name,year,theme,subtheme,themeGroup,category,pieces,minifigs,agerange_min,US_retailPrice,bricksetURL,thumbnailURL,imageURL
162,SAMSONITE-10,846 Piece Basic Set,1972,Samsonite,Basic set,Vintage,Other,846.0,,,,https://brickset.com/sets/SAMSONITE-10,https://images.brickset.com/sets/small/SAMSONITE-10.jpg,https://images.brickset.com/sets/images/SAMSONITE-10.jpg
163,SAMSONITE-16,395 Piece Basic Set,1972,Samsonite,Basic set,Vintage,Other,395.0,,,,https://brickset.com/sets/SAMSONITE-16,,
164,SAMSONITE-17,665 Piece Basic Set,1972,Samsonite,Basic set,Vintage,Other,665.0,,,,https://brickset.com/sets/SAMSONITE-17,https://images.brickset.com/sets/small/SAMSONITE-17.jpg,https://images.brickset.com/sets/images/SAMSONITE-17.jpg
165,1-7,Basic Set,1973,Universal Building Set,,Basic,Normal,107.0,,,,https://brickset.com/sets/1-7,https://images.brickset.com/sets/small/1-7.jpg,https://images.brickset.com/sets/images/1-7.jpg
166,2-7,Basic Set,1973,Universal Building Set,,Basic,Normal,184.0,,,,https://brickset.com/sets/2-7,https://images.brickset.com/sets/small/2-7.jpg,https://images.brickset.com/sets/images/2-7.jpg
167,3-4,Basic Set,1973,Universal Building Set,,Basic,Normal,184.0,,,,https://brickset.com/sets/3-4,https://images.brickset.com/sets/small/3-4.jpg,https://images.brickset.com/sets/images/3-4.jpg
168,4-3,Basic Set,1973,Universal Building Set,,Basic,Normal,230.0,,,,https://brickset.com/sets/4-3,https://images.brickset.com/sets/small/4-3.jpg,https://images.brickset.com/sets/images/4-3.jpg
169,5-3,Basic Set,1973,Universal Building Set,,Basic,Normal,349.0,,,,https://brickset.com/sets/5-3,https://images.brickset.com/sets/small/5-3.jpg,https://images.brickset.com/sets/images/5-3.jpg
170,6-3,Basic Set,1973,Universal Building Set,,Basic,Normal,349.0,,,,https://brickset.com/sets/6-3,https://images.brickset.com/sets/small/6-3.jpg,https://images.brickset.com/sets/images/6-3.jpg
171,7-3,Basic Set,1973,Universal Building Set,,Basic,Normal,415.0,,,,https://brickset.com/sets/7-3,https://images.brickset.com/sets/small/7-3.jpg,https://images.brickset.com/sets/images/7-3.jpg
172,8-3,Basic Set #8,1973,Universal Building Set,,Basic,Normal,776.0,,,,https://brickset.com/sets/8-3,https://images.brickset.com/sets/small/8-3.jpg,https://images.brickset.com/sets/images/8-3.jpg
173,010-2,Pre-School Set,1973,Duplo,,Pre-school,Normal,17.0,,,,https://brickset.com/sets/010-2,,
174,11-2,Small pre-school set,1973,Minitalia,,Vintage,Normal,32.0,,,,https://brickset.com/sets/11-2,https://images.brickset.com/sets/small/11-2.jpg,https://images.brickset.com/sets/images/11-2.jpg
175,12-2,Medium pre-school set,1973,Minitalia,,Vintage,Normal,70.0,,,,https://brickset.com/sets/12-2,https://images.brickset.com/sets/small/12-2.jpg,https://images.brickset.com/sets/images/12-2.jpg
176,13-2,Large pre-school set,1973,Minitalia,,Vintage,Normal,92.0,,,,https://brickset.com/sets/13-2,https://images.brickset.com/sets/small/13-2.jpg,https://images.brickset.com/sets/images/13-2.jpg
177,14-3,Small house set,1973,Minitalia,,Vintage,Normal,,,,,https://brickset.com/sets/14-3,https://images.brickset.com/sets/small/14-3.jpg,https://images.brickset.com/sets/images/14-3.jpg
178,15-2,Large house set,1973,Minitalia,,Vintage,Normal,157.0,,,,https://brickset.com/sets/15-2,https://images.brickset.com/sets/small/15-2.jpg,https://images.brickset.com/sets/images/15-2.jpg
179,16-2,City square,1973,Minitalia,,Vintage,Normal,,,,,https://brickset.com/sets/16-2,https://images.brickset.com/sets/small/16-2.jpg,https://images.brickset.com/sets/images/16-2.jpg
180,17-2,Airport,1973,Minitalia,,Vintage,Normal,,,,,https://brickset.com/sets/17-2,https://images.brickset.com/sets/small/17-2.jpg,https://images.brickset.com/sets/images/17-2.jpg
181,020-2,Building Set,1973,Duplo,,Pre-school,Normal,25.0,,,,https://brickset.com/sets/020-2,,
182,030-2,Building Set,1973,Duplo,,Pre-school,Normal,29.0,,,,https://brickset.com/sets/030-2,,
183,30-2,Small ship,1973,Minitalia,,Vintage,Normal,26.0,,,,https://brickset.com/sets/30-2,https://images.brickset.com/sets/small/30-2.jpg,https://images.brickset.com/sets/images/30-2.jpg
184,31-1,Medium ship,1973,Minitalia,,Vintage,Normal,39.0,,,,https://brickset.com/sets/31-1,https://images.brickset.com/sets/small/31-1.jpg,https://images.brickset.com/sets/images/31-1.jpg
185,32-2,Large ship,1973,Minitalia,,Vintage,Normal,57.0,,,,https://brickset.com/sets/32-2,https://images.brickset.com/sets/small/32-2.jpg,https://images.brickset.com/sets/images/32-2.jpg
186,105-2,Building Set,1973,Universal Building Set,,Basic,Normal,149.0,,,,https://brickset.com/sets/105-2,https://images.brickset.com/sets/small/105-2.jpg,https://images.brickset.com/sets/images/105-2.jpg
187,115-1,Building Set,1973,Universal Building Set,,Basic,Normal,190.0,,,,https://brickset.com/sets/115-1,https://images.brickset.com/sets/small/115-1.jpg,https://images.brickset.com/sets/images/115-1.jpg
188,135-1,Building Set,1973,Universal Building Set,,Basic,Normal,338.0,,,,https://brickset.com/sets/135-1,https://images.brickset.com/sets/small/135-1.jpg,https://images.brickset.com/sets/images/135-1.jpg
189,221-1,Idea Book No. 1,1973,Books,LEGO,Miscellaneous,Book,,,,,https://brickset.com/sets/221-1,https://images.brickset.com/sets/small/221-1.jpg,https://images.brickset.com/sets/images/221-1.jpg
190,270-2,"Grandfather Clock, Chair and Table",1973,Homemaker,,Vintage,Normal,47.0,,,,https://brickset.com/sets/270-2,https://images.brickset.com/sets/small/270-2.jpg,https://images.brickset.com/sets/images/270-2.jpg
191,271-1,Baby's Cot and Cabinet,1973,Homemaker,,Vintage,Normal,49.0,,,,https://brickset.com/sets/271-1,https://images.brickset.com/sets/small/271-1.jpg,https://images.brickset.com/sets/images/271-1.jpg
192,272-1,Dressing Table with Mirror,1973,Homemaker,,Vintage,Normal,32.0,,,,https://brickset.com/sets/272-1,https://images.brickset.com/sets/small/272-1.jpg,https://images.brickset.com/sets/images/272-1.jpg
193,273-1,Bureau,1973,Homemaker,,Vintage,Normal,23.0,,,,https://brickset.com/sets/273-1,https://images.brickset.com/sets/small/273-1.jpg,https://images.brickset.com/sets/images/273-1.jpg
194,290-2,Dining Suite,1973,Homemaker,,Vintage,Normal,114.0,,,,https://brickset.com/sets/290-2,https://images.brickset.com/sets/small/290-2.jpg,https://images.brickset.com/sets/images/290-2.jpg
195,291-1,Blackboard and School Desk,1973,Homemaker,,Vintage,Normal,90.0,,,,https://brickset.com/sets/291-1,https://images.brickset.com/sets/small/291-1.jpg,https://images.brickset.com/sets/images/291-1.jpg
